System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:19:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"100.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.87"
Fracture Notes and Location,,"VERY DUCTILE CUP CONE STRUCTURE. SAMPLE BECAME MAGNETIC AT FAIL SURFACE WHERE IT WASN'T BEFORE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"50.26"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"187.50","12.50","27.71","0.1769"
"188.00","12.53","27.72","0.1775"
"188.50","12.57","27.73","0.1782"
"189.00","12.60","27.74","0.1788"
"189.50","12.63","27.75","0.1795"
"190.00","12.67","27.75","0.1801"
"190.50","12.70","27.76","0.1808"
"191.00","12.73","27.77","0.1814"
"191.50","12.77","27.78","0.1821"
"192.00","12.80","27.79","0.1827"
"192.50","12.83","27.79","0.1833"
"193.00","12.87","27.81","0.1839"
"193.50","12.90","27.82","0.1842"
"194.00","12.93","27.82","0.1848"
"194.50","12.97","27.83","0.1855"
"195.00","13.00","27.83","0.1861"
"195.50","13.03","27.85","0.1868"
"196.00","13.07","27.85","0.1874"
"196.50","13.10","27.86","0.1881"
"197.00","13.13","27.87","0.1888"
"197.50","13.17","27.88","0.1894"
"198.00","13.20","27.89","0.1901"
"198.50","13.23","27.89","0.1907"
"199.00","13.27","27.90","0.1914"
"199.50","13.30","27.91","0.1921"
"200.00","13.33","27.92","0.1927"
"200.50","13.37","27.93","0.1934"
"201.00","13.40","27.93","0.1940"
